team,R16,QF,SF,Final,Champion
Brazil,92.87,73.99,51.29,31.02,21.57
Argentina,96.09,76.14,50.13,31.67,21.39
Netherlands,89.7,64.97,38.85,24.09,14.53
France,85.08,50.28,32.77,17.86,7.18
Spain,79.5,50.57,27.18,13.73,6.9
Belgium,77.87,44.38,24.59,12.78,5.54
Portugal,80.19,41.17,21.68,11.33,4.56
Germany,71.49,41.07,19.8,9.26,3.88
Denmark,71.44,33.18,19.06,8.77,3.25
England,74.02,42.52,18.61,8.11,2.81
Croatia,59.07,25.98,10.78,4.02,1.42
Switzerland,54.09,25.07,10.83,4.22,1.3
Uruguay,67.9,26.23,11.25,4.14,1.29
Serbia,45.25,20.78,8.56,3.59,1.04
Ecuador,59.68,29.27,9.39,2.84,0.67
Mexico,47.53,16.35,7.05,2.21,0.52
Canada,40.21,15.02,4.68,1.38,0.43
Poland,39.76,11.6,4.53,1.44,0.36
Japan,30.21,11.31,3.66,1.3,0.31
United States,46.71,18.54,5.12,1.58,0.29
Wales,40.93,15.16,3.41,0.91,0.23
Iran,38.34,13.23,3.47,0.8,0.13
Tunisia,23.18,5.09,1.65,0.5,0.1
South Korea,37.52,9.47,2.48,0.61,0.09
Senegal,33.69,11.97,3.01,0.59,0.07
Australia,20.3,4.49,1.61,0.32,0.05
Morocco,22.85,5.76,1.21,0.24,0.04
Costa Rica,18.8,5.91,1.45,0.38,0.03
Saudi Arabia,16.62,2.87,0.83,0.17,0.02
Qatar,16.93,4.34,0.51,0.04,0.0
Cameroon,7.79,1.54,0.28,0.06,0.0
Ghana,14.39,1.75,0.28,0.04,0.0
