team,R32,R16,QF,SF,Final,Champion
Argentina,97.38,66.36,50.85,36.93,23.1,14.44
Spain,98.81,68.15,50.1,37.09,22.53,13.88
France,98.05,72.0,48.66,33.72,21.74,13.52
England,99.26,67.09,43.5,26.49,15.82,8.86
Brazil,96.65,66.45,42.86,25.11,14.61,7.57
Portugal,86.8,58.8,36.64,20.18,9.79,4.72
Netherlands,90.47,47.63,30.5,15.69,8.38,4.08
Ecuador,88.66,55.46,28.69,15.56,7.82,3.72
Belgium,95.74,65.6,37.66,16.74,7.51,3.25
Colombia,84.43,55.27,30.54,16.06,7.52,3.14
Morocco,89.76,46.38,26.19,13.4,6.91,3.13
Germany,90.5,55.09,26.6,13.21,6.71,2.9
Japan,80.09,40.94,23.31,11.99,5.94,2.86
Norway,81.98,47.47,25.0,12.95,6.2,2.79
Uruguay,90.84,41.15,23.27,11.23,4.25,1.55
Mexico,93.72,57.82,27.2,9.88,3.94,1.38
Switzerland,97.28,65.88,27.8,10.39,3.93,1.31
Ivory Coast,84.35,39.11,15.62,6.38,2.53,1.03
Canada,95.24,58.5,25.17,8.62,2.85,0.82
Senegal,69.61,32.72,14.35,5.53,2.15,0.74
Croatia,91.13,40.49,16.69,7.51,2.5,0.7
Turkey,73.47,41.77,17.15,6.02,2.14,0.55
South Korea,79.31,35.19,12.71,3.83,1.3,0.43
United States,61.99,31.32,11.57,3.85,1.18,0.39
Algeria,69.98,26.0,11.02,4.21,1.28,0.36
Paraguay,74.08,38.38,14.55,4.7,1.39,0.35
Australia,64.76,32.65,12.23,4.29,1.38,0.35
Austria,76.67,26.54,10.72,4.0,1.22,0.29
DR Congo,51.4,19.28,6.45,2.35,0.72,0.23
Uzbekistan,47.45,15.76,4.56,1.25,0.44,0.12
Iran,75.85,29.44,8.53,1.98,0.35,0.11
Czech Republic,67.23,25.9,7.59,1.98,0.39,0.11
Sweden,62.26,16.07,5.46,1.62,0.4,0.11
Egypt,67.65,20.72,6.05,1.62,0.36,0.08
Tunisia,37.88,8.79,2.42,0.59,0.11,0.06
South Africa,29.34,7.65,1.87,0.39,0.09,0.03
Scotland,49.4,13.63,3.5,0.66,0.16,0.02
Cape Verde,27.72,4.27,0.9,0.18,0.04,0.01
Haiti,26.0,5.65,1.06,0.23,0.06,0.01
Qatar,11.45,1.49,0.1,0.01,0.0,0.0
Bosnia and Herzegovina,62.23,17.91,4.3,0.61,0.12,0.0
Saudi Arabia,35.74,6.49,1.4,0.22,0.01,0.0
Curaçao,13.51,1.93,0.24,0.03,0.0,0.0
New Zealand,30.25,5.82,1.03,0.09,0.02,0.0
Jordan,22.56,3.94,0.86,0.19,0.03,0.0
Iraq,17.76,3.14,0.58,0.09,0.02,0.0
Ghana,36.7,6.15,0.94,0.15,0.04,0.0
Panama,26.61,5.76,1.01,0.2,0.02,0.0
