team,elo,form_gf,form_ga,form_xgf,form_xga,form_xg_cov,form_winrate,form_opp_elo,n_prev,days_since_last,mv,age,confed
Mexico,1976.53,1.52,0.64,1.35,0.58,0.28,0.76,1797.91,30.0,7.0,191.85,27.9,3
South Africa,1661.4,1.55,0.89,1.56,0.95,0.34,0.63,1553.48,30.0,5.0,49.25,26.8,4
South Korea,1877.81,1.98,0.98,1.98,0.98,0.0,0.72,1647.12,30.0,8.0,139.05,28.1,5
Czech Republic,1799.14,1.95,1.18,1.99,1.08,0.84,0.65,1640.8,30.0,7.0,188.18,27.6,1
Canada,1894.65,1.39,0.72,1.52,0.85,0.44,0.63,1815.37,30.0,6.0,198.65,27.0,3
Bosnia and Herzegovina,1648.8,1.33,1.61,1.33,1.47,0.87,0.45,1676.67,30.0,5.0,151.6,26.4,1
Qatar,1562.83,1.45,1.65,1.45,1.65,0.0,0.52,1620.45,30.0,5.0,19.93,29.5,5
Switzerland,1952.98,1.79,1.07,1.62,1.03,0.74,0.6,1856.78,30.0,5.0,332.5,28.3,1
Brazil,2065.32,1.6,0.96,1.73,1.0,0.18,0.6,1923.72,30.0,5.0,928.2,29.4,2
Morocco,1982.65,2.2,0.26,2.21,0.45,0.38,0.91,1616.39,30.0,4.0,498.3,26.4,4
Haiti,1705.51,2.07,1.27,2.11,1.4,0.33,0.56,1555.78,30.0,6.0,55.9,27.6,3
Scotland,1841.3,1.53,1.5,1.24,1.55,0.77,0.5,1801.87,30.0,5.0,170.25,29.2,1
United States,1823.38,1.69,1.37,1.61,1.27,0.44,0.54,1832.49,30.0,5.0,385.65,26.9,3
Paraguay,1914.7,0.99,1.0,0.98,0.98,0.18,0.51,1922.83,30.0,6.0,153.65,29.1,2
Australia,1897.32,1.86,0.64,1.86,0.64,0.0,0.72,1652.51,30.0,5.0,77.45,27.4,5
Turkey,1966.41,1.91,1.29,1.59,1.3,0.85,0.7,1799.0,30.0,5.0,,,1
Germany,2001.56,2.38,0.92,2.26,1.02,0.83,0.74,1816.5,30.0,5.0,947.0,28.1,1
Curaçao,1604.94,2.02,1.0,1.84,1.12,0.29,0.6,1511.32,30.0,5.0,25.78,28.0,3
Ivory Coast,1812.61,1.81,0.56,1.65,0.4,0.35,0.76,1582.88,30.0,7.0,522.1,25.9,4
Ecuador,2024.05,1.03,0.47,1.1,0.54,0.27,0.65,1894.4,30.0,4.0,368.7,26.1,2
Netherlands,2007.61,2.44,0.99,1.95,0.98,0.84,0.69,1770.4,30.0,3.0,754.2,27.8,1
Japan,1990.04,2.72,0.61,2.72,0.61,0.0,0.79,1660.23,30.0,11.0,270.85,27.8,5
Sweden,1767.65,1.88,1.57,1.9,1.46,0.75,0.55,1722.33,30.0,7.0,406.08,27.6,1
Tunisia,1735.95,1.63,0.88,1.49,0.76,0.23,0.65,1569.6,30.0,5.0,69.95,26.7,4
Belgium,1953.74,2.27,0.92,2.18,0.91,0.82,0.61,1721.11,30.0,5.0,547.5,27.6,1
Egypt,1808.15,1.38,0.61,1.27,0.6,0.36,0.72,1610.42,30.0,5.0,116.48,29.1,4
Iran,1893.79,2.01,0.8,2.01,0.8,0.0,0.76,1607.33,30.0,7.0,32.05,30.4,5
New Zealand,1716.74,2.4,1.01,2.4,1.01,0.0,0.53,1690.32,30.0,5.0,34.35,28.1,6
Spain,2215.86,2.67,0.89,2.48,0.91,0.86,0.88,1866.51,30.0,3.0,1220.0,26.8,1
Cape Verde,1651.85,1.39,0.96,1.38,1.09,0.2,0.64,1565.49,30.0,5.0,54.5,29.7,4
Saudi Arabia,1690.66,1.1,1.11,1.2,1.08,0.21,0.51,1698.97,30.0,2.0,40.68,28.5,5
Uruguay,1971.65,1.18,0.69,1.02,0.78,0.26,0.57,1865.1,30.0,72.0,359.3,28.8,2
France,2121.77,1.85,0.94,2.0,0.99,0.84,0.71,1854.43,30.0,3.0,1520.0,27.0,1
Senegal,1911.36,2.0,0.58,2.05,0.62,0.38,0.81,1607.76,30.0,2.0,478.1,27.1,4
Iraq,1734.71,1.21,0.84,1.21,0.84,0.0,0.65,1613.64,30.0,2.0,21.2,26.9,5
Norway,1968.5,3.08,0.9,2.25,0.76,0.73,0.79,1702.89,30.0,4.0,589.9,26.8,1
Argentina,2186.15,2.01,0.41,2.11,0.58,0.3,0.82,1838.16,30.0,2.0,782.5,29.1,2
Algeria,1870.81,2.23,0.57,2.17,0.7,0.28,0.85,1571.89,30.0,8.0,256.9,26.9,4
Austria,1887.09,2.22,0.79,2.11,0.86,0.85,0.71,1656.65,30.0,10.0,242.2,28.6,1
Jordan,1772.1,1.54,1.19,1.54,1.19,0.0,0.54,1698.19,30.0,4.0,20.3,28.5,5
Portugal,2039.51,2.22,0.98,2.43,1.09,0.85,0.72,1805.68,30.0,5.0,1010.0,28.1,1
DR Congo,1761.48,1.3,0.57,1.46,0.69,0.34,0.7,1612.98,30.0,2.0,,,4
Uzbekistan,1817.21,1.4,0.65,1.4,0.65,0.0,0.7,1640.91,30.0,3.0,85.33,28.5,5
Colombia,2059.96,2.01,0.96,1.59,0.92,0.22,0.64,1916.71,30.0,4.0,302.35,30.1,2
England,2083.15,2.01,0.52,1.72,0.67,0.82,0.77,1733.28,30.0,5.0,1360.0,27.2,1
Croatia,1966.26,1.97,1.06,2.11,1.06,0.83,0.67,1729.99,30.0,4.0,387.3,28.4,1
Ghana,1623.64,1.54,1.21,1.49,1.18,0.12,0.5,1586.71,30.0,9.0,234.6,26.8,4
Panama,1851.59,1.77,1.34,1.63,1.36,0.52,0.66,1699.2,30.0,5.0,34.55,30.4,3
